year,period,price,estimate,actual
2023,AUG,-20,50.9,50.6
2023,NOV,-20,49.9,50.6
2023,OCT,44,49.6,50.6
2023,SEP,-33,50.1,50.6
2022,AUG,-17,51.9,49.6
2022,NOV,16,50.2,49.6
2022,OCT,10,49.8,49.6
2022,SEP,77,50.5,49.6
2021,AUG,-4,50.0,51.7
2021,NOV,21,51.2,51.7
2021,OCT,-43,51.5,51.7
2021,SEP,19,50.6,51.7
2020,AUG,11,53.3,51.0
2020,NOV,33,50.7,51.0
2020,OCT,8,51.9,51.0
2020,SEP,19,51.9,51.0
2019,AUG,-13,48.5,47.4
2019,NOV,-7,46.9,47.4
2019,OCT,0,46.9,47.4
2019,SEP,28,47.9,47.4
2018,AUG,-37,51.6,50.6
2018,NOV,6,52.1,50.6
2018,OCT,2,53.1,50.6
2018,SEP,10,52.8,50.6
2017,AUG,-35,49.4,49.3
2017,NOV,-13,49.5,49.3
2017,OCT,27,49.5,49.3
2017,SEP,-10,49.9,49.3
2016,AUG,2,48.9,51.9
2016,NOV,-19,52.5,51.9
2016,OCT,-15,51.4,51.9
2016,SEP,-17,50.6,51.9
2015,AUG,-79,46.9,48.0
2015,NOV,-14,48.3,48.0
2015,OCT,6,47.2,48.0
2015,SEP,-4,47.1,48.0
2014,AUG,-11,45.4,47.5
2014,NOV,-20,47.5,47.5
2014,OCT,-25,47.1,47.5
2014,SEP,-21,46.6,47.5
2013,AUG,43,42.6,44.0
2013,NOV,28,43.0,44.0
2013,SEP,27,41.2,44.0
2012,AUG,12,36.1,40.0
2012,NOV,-85,39.3,40.0
2012,OCT,26,37.8,40.0
2012,SEP,44,35.3,40.0
2011,AUG,28,41.4,42.0
2011,NOV,-14,41.3,42.0
2011,OCT,8,41.5,42.0
2011,SEP,-34,41.8,42.0
2010,AUG,9,44.0,43.5
2010,NOV,62,43.9,43.5
2010,OCT,56,44.4,43.5
2010,SEP,-16,44.7,43.5
2009,AUG,6,41.7,44.0
2009,NOV,-9,43.3,44.0
2009,OCT,20,42.4,44.0
2009,SEP,-24,42.3,44.0
2008,AUG,15,40.5,39.7
2008,NOV,27,39.3,39.7
2008,OCT,-63,39.5,39.7
2008,SEP,17,40.0,39.7
2007,AUG,-9,41.5,41.7
2007,NOV,13,41.3,41.7
2007,OCT,-13,41.4,41.7
2007,SEP,18,41.4,41.7
2006,AUG,-6,39.6,42.9
2006,NOV,-5,43.0,42.9
2006,OCT,18,42.8,42.9
2006,SEP,-6,41.8,42.9
2005,AUG,0,38.7,43.1
2005,NOV,2,42.7,43.1
2005,OCT,15,41.6,43.1
2005,SEP,-3,39.6,43.1
2004,AUG,37,39.1,42.2
2004,NOV,8,42.6,42.2
2004,OCT,-23,42.0,42.2
2004,SEP,-15,38.5,42.2
2003,AUG,13,39.4,33.9
2003,NOV,-6,33.8,33.9
2003,OCT,31,34.0,33.9
2003,SEP,12,36.4,33.9
2002,AUG,23,36.5,38.0
2002,NOV,-6,37.5,38.0
2002,OCT,4,37.0,38.0
2002,SEP,-11,37.0,38.0
2001,AUG,6,38.7,39.6
2001,NOV,4,39.4,39.6
2001,OCT,-16,39.2,39.6
2001,SEP,-8,38.2,39.6
2000,AUG,5,40.7,38.1
2000,NOV,-5,38.0,38.1
2000,OCT,-3,38.7,38.1
2000,SEP,-2,39.5,38.1
1999,AUG,-33,39.2,36.6
1999,NOV,-14,36.7,36.6
1999,OCT,0,37.0,36.6
1999,SEP,10,37.9,36.6
1998,AUG,-5,39.5,38.9
1998,NOV,14,38.6,38.9
1998,OCT,21,38.7,38.9
1998,SEP,0,40.6,38.9
1997,AUG,20,39.3,38.9
1997,NOV,-14,39.2,38.9
1997,OCT,21,39.0,38.9
1997,SEP,-7,39.3,38.9
1996,AUG,21,36.2,37.6
1996,NOV,6,37.9,37.6
1996,OCT,-33,37.0,37.6
1996,SEP,-2,35.8,37.6
1995,AUG,-9,36.4,35.3
1995,NOV,-6,35.4,35.3
1995,OCT,7,35.5,35.3
1995,SEP,1,37.0,35.3
1994,AUG,1,37.6,41.4
1994,NOV,5,41.5,41.4
1994,OCT,8,40.5,41.4
1994,SEP,3,38.2,41.4
1993,AUG,-29,33.8,32.6
1993,NOV,29,32.7,32.6
1993,OCT,-2,33.7,32.6
1993,SEP,-18,34.0,32.6
1992,AUG,10,35.8,37.6
1992,NOV,11,37.3,37.6
1992,OCT,5,36.3,37.6
1992,SEP,-6,35.9,37.6
1991,AUG,-7,31.8,34.2
1991,NOV,8,33.5,34.2
1991,OCT,-22,33.0,34.2
1991,SEP,0,31.0,34.2
1990,AUG,10,32.5,34.1
1990,NOV,-10,33.7,34.1
1990,OCT,-3,32.3,34.1
1990,SEP,-8,32.4,34.1
1989,AUG,10,32.3,32.3
1989,NOV,-10,32.8,32.3
1989,OCT,-8,32.6,32.3
1989,SEP,-30,32.0,32.3
1988,AUG,-10,26.0,27.0
1988,NOV,-26,26.6,27.0
1988,OCT,-4,26.4,27.0
1988,SEP,3,25.9,27.0
1987,AUG,2,34.7,33.9
1987,NOV,2,34.1,33.9
1987,OCT,-4,34.2,33.9
1987,SEP,3,34.0,33.9
1986,AUG,3,32.9,33.3
1986,NOV,-1,33.8,33.3
1986,OCT,2,33.3,33.3
1986,SEP,3,33.1,33.3
1985,AUG,-4,31.5,34.1
1985,NOV,-5,34.2,34.1
1985,OCT,-3,33.9,34.1
1985,SEP,5,33.2,34.1
